"game_id","home_team","away_team","period_id","event_no","description","time_remaining","on_ice_situation","home_goals","away_goals","leader","team","event","first_player","first_number","second_player","second_number","third_player","third_number","shot_type","shot_result","goalie_involved","penalty","penalty_length","penalty_type","penalty_called","offensive_player_one","offensive_player_two","offensive_player_three","offensive_player_four","offensive_player_five","home_goalie","away_goalie"
268078,"CTW","BUF",1,39,"#94 Grace Klienbach faceoff won against #22 Becki Bowering","1:28","Power Play","0 ","1","BUF","ConnecticutCTW","Faceoff","Grace Klienbach",94,"Becki Bowering",22,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,40,"#26 Jordan Brickner saved by #37 Mariah Fujimagari","1:01","Power Play","0 ","1","BUF","ConnecticutCTW","Shot","Jordan Brickner",26,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,41,"#24 Sarah Hughson giveaway to #4 Marie-Jo Pelletier2 GvA2 TkA","0:46","Even Strength","0 ","1","BUF","ConnecticutCTW","Giveaway","Sarah Hughson",24,"Marie-Jo Pelletier",4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,42,"#15 Emma Vlasic faceoff won against #22 Becki Bowering","19:49","Even Strength","0 ","1","BUF","ConnecticutCTW","Faceoff","Emma Vlasic",15,"Becki Bowering",22,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,43,"#22 Becki Bowering faceoff won against #15 Emma Vlasic","19:49","Even Strength","0 ","1","BUF","BuffaloBUF","Faceoff","Becki Bowering",22,"Emma Vlasic",15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,44,"#5 Lenka Curmova saved by #31 Sonjia Shelly","19:27","Even Strength","0 ","1","BUF","BuffaloBUF","Shot","Lenka Curmova",5,"Sonjia Shelly",31,NA,NA,NA,"saved","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,45,"#4 Taylor Marchin saved by #37 Mariah Fujimagari","19:07","Even Strength","0 ","1","BUF","ConnecticutCTW","Shot","Taylor Marchin",4,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,46,"#17 Cassidy MacPherson faceoff won against #21 Sarah Schwenzfeier","19:07","Even Strength","0 ","1","BUF","BuffaloBUF","Faceoff","Cassidy MacPherson",17,"Sarah Schwenzfeier",21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,47,"#17 Cassidy MacPherson saved by #31 Sonjia Shelly","18:41","Even Strength","0 ","1","BUF","BuffaloBUF","Shot","Cassidy MacPherson",17,"Sonjia Shelly",31,NA,NA,NA,"saved","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,48,"#21 Sarah Schwenzfeier faceoff won against #17 Cassidy MacPherson","18:41","Even Strength","0 ","1","BUF","ConnecticutCTW","Faceoff","Sarah Schwenzfeier",21,"Cassidy MacPherson",17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
