"event","team","time","description","event_no","period_id","desc","on_ice_situation","shot_type","shot_result","penalty_type","penalty_called","penalty_length","penalty","score","first_player","first_number","second_player","second_number","third_player","third_number","minute_start","second_start","clock","offensive_player_one","offensive_number_one","offensive_player_two","offensive_number_two","offensive_player_three","offensive_number_three","offensive_player_four","offensive_number_four","offensive_player_five","offensive_number_five","leader","away_goals","home_goals","sec_from_start","power_play_seconds","start_power_play","end_power_play","away_team","home_team","goalie_change","away_goalie","home_goalie","goalie_involved","time_elapsed","time_remaining","game_id"
"Shot","ConnecticutCTW","12:58","#12 Kendra Broad saved by #37 Mariah Fujimagari",24,1,"12 Kendra Broad   37 Mariah Fujimagari","Even Strength",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Kendra Broad",12,"Mariah Fujimagari",37,NA,NA,12,58,"7:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",778,NA,568,688,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","12:58","7:02",268078
"Penalty","BuffaloBUF","12:58","#11 Megan Delay Roughing against #12 Kendra BroadMinor 2 minsPower Play",25,1,"11 Megan Delay   12 Kendra Broad","Power Play",NA,NA,"Minor","Roughing","2 mins",1,"1 - 0 BUF","Megan Delay",11,"Kendra Broad",12,NA,NA,12,58,"7:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",778,120,778,898,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"12:58","7:02",268078
"Faceoff","ConnecticutCTW","12:58","#15 Emma Vlasic faceoff won against #21 Kim Brown",26,1,"15 Emma Vlasic   21 Kim Brown","Power Play",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Emma Vlasic",15,"Kim Brown",21,NA,NA,12,58,"7:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",778,NA,778,898,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"12:58","7:02",268078
"Penalty","ConnecticutCTW","13:40","#6 Shannon Doyle Hooking against #21 Kim BrownMinor 2 minsPower Play",27,1,"6 Shannon Doyle   21 Kim Brown","Power Play",NA,NA,"Minor","Hooking","2 mins",1,"1 - 0 BUF","Shannon Doyle",6,"Kim Brown",21,NA,NA,13,40,"6:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",820,120,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"13:40","6:20",268078
"Faceoff","BuffaloBUF","13:40","#23 Corinne Buie faceoff won against #21 Sarah Schwenzfeier",28,1,"23 Corinne Buie   21 Sarah Schwenzfeier","Power Play",NA,NA,NA,NA,NA,0,"1 - 0 BUF","Corinne Buie",23,"Sarah Schwenzfeier",21,NA,NA,13,40,"6:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",820,NA,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"13:40","6:20",268078
"Shot BLK","BuffaloBUF","13:54","#5 Lenka Curmova blocked by #21 Sarah Schwenzfeier2 Blk",29,1,"5 Lenka Curmova   21 Sarah Schwenzfeier","Power Play",NA,"blocked",NA,NA,NA,0,"1 - 0 BUF","Lenka Curmova",5,"Sarah Schwenzfeier",21,NA,NA,13,54,"6:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",834,NA,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","13:54","6:06",268078
"Shot BLK","BuffaloBUF","14:10","#23 Corinne Buie blocked by #4 Taylor Marchin1 Blk",30,1,"23 Corinne Buie   4 Taylor Marchin","Power Play",NA,"blocked",NA,NA,NA,0,"1 - 0 BUF","Corinne Buie",23,"Taylor Marchin",4,NA,NA,14,10,"5:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",850,NA,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","14:10","5:50",268078
"Shot","ConnecticutCTW","14:43","#2 Maddie Evangelous saved by #37 Mariah Fujimagari",31,1,"2 Maddie Evangelous   37 Mariah Fujimagari","Power Play",NA,"saved",NA,NA,NA,0,"1 - 0 BUF","Maddie Evangelous",2,"Mariah Fujimagari",37,NA,NA,14,43,"5:17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",883,NA,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","14:43","5:17",268078
"Shot BLK","ConnecticutCTW","14:57","#2 Maddie Evangelous blocked by #15 Kandice Sheriff1 Blk",32,1,"2 Maddie Evangelous   15 Kice Sheriff","Power Play",NA,"blocked",NA,NA,NA,0,"1 - 0 BUF","Maddie Evangelous",2,"Kice Sheriff",15,NA,NA,14,57,"5:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",897,NA,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Mariah Fujimagari","14:57","5:03",268078
"Shot BLK","BuffaloBUF","15:40","#8 Iveta Klimasova blocked by #2 Maddie Evangelous1 Blk",33,1,"8 Iveta Klimasova   2 Maddie Evangelous","Power Play",NA,"blocked",NA,NA,NA,0,"1 - 0 BUF","Iveta Klimasova",8,"Maddie Evangelous",2,NA,NA,15,40,"4:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF","1","0 ",940,NA,820,940,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","15:40","4:20",268078
